step,joint,action,target_q,q_curr,tau
260,R_hip_pitch,0.728030,0.130000,0.089086,4.296393
260,R_knee,0.419817,0.320000,0.377572,-9.103934
260,R_foot_pitch,-2.629550,-0.190000,-0.249221,4.379597
260,R_foot_roll,-0.523019,0.000000,-0.003006,0.298935
270,L_hip_roll,0.028102,0.000000,-0.003472,0.575527
270,L_hip_yaw,0.105089,0.000000,-0.005957,0.736652
270,L_hip_pitch,0.198515,-0.130000,-0.095732,-3.447101
270,L_knee,0.064235,-0.320000,-0.373652,8.257384
270,L_foot_pitch,0.156086,0.190000,0.245718,-4.031907
270,L_foot_roll,0.143914,0.000000,-0.003993,0.329652
270,R_hip_roll,-0.175867,0.000000,-0.003312,0.598380
270,R_hip_yaw,0.059215,0.000000,0.010779,-1.269147
270,R_hip_pitch,0.595328,0.130000,0.095508,3.451920
270,R_knee,0.084068,0.320000,0.373168,-8.317308
270,R_foot_pitch,-2.248456,-0.190000,-0.245358,4.005160
270,R_foot_roll,-0.650470,0.000000,-0.003424,0.228402
280,L_hip_roll,-0.602137,0.000000,-0.003029,0.481209
280,L_hip_yaw,0.076004,0.000000,-0.006253,0.785779
280,L_hip_pitch,0.426111,-0.130000,-0.102629,-2.553403
280,L_knee,-0.077647,-0.320000,-0.368918,7.505267
280,L_foot_pitch,-0.279894,0.190000,0.241471,-3.696587
280,L_foot_roll,-0.152731,0.000000,-0.004392,0.363971
280,R_hip_roll,0.073122,0.000000,-0.003007,0.509716
280,R_hip_yaw,0.085862,0.000000,0.010470,-1.218613
280,R_hip_pitch,0.361872,0.130000,0.102595,2.559163
280,R_knee,-0.264101,0.320000,0.368984,-7.587697
280,R_foot_pitch,-1.625267,-0.190000,-0.241476,3.744065
280,R_foot_roll,-0.765748,0.000000,-0.003794,0.370048
290,L_hip_roll,-1.117374,0.000000,-0.002588,0.331552
290,L_hip_yaw,0.105109,0.000000,-0.006673,0.846589
290,L_hip_pitch,0.455131,-0.130000,-0.110060,-1.642477
290,L_knee,-0.082749,-0.320000,-0.364573,6.724175
290,L_foot_pitch,-0.486471,0.190000,0.237351,-3.376383
290,L_foot_roll,-0.389291,0.000000,-0.004705,0.569858
290,R_hip_roll,0.479009,0.000000,-0.002702,0.436289
290,R_hip_yaw,0.136601,0.000000,0.010036,-1.157898
290,R_hip_pitch,-0.090921,0.130000,0.110026,1.631804
290,R_knee,-0.508290,0.320000,0.364943,-6.969924
290,R_foot_pitch,-0.666161,-0.190000,-0.237708,3.423989
290,R_foot_roll,-0.790183,0.000000,-0.004136,0.333907
300,L_hip_roll,-1.177842,0.000000,-0.002119,0.275130
300,L_hip_yaw,0.144925,0.000000,-0.007184,0.916783
300,L_hip_pitch,0.128874,-0.130000,-0.117751,-0.698614
300,L_knee,-0.002276,-0.320000,-0.360654,6.207459
300,L_foot_pitch,-0.490811,0.190000,0.233357,-3.103753
300,L_foot_roll,-0.474545,0.000000,-0.004994,0.467897
300,R_hip_roll,0.589410,0.000000,-0.002363,0.377254
300,R_hip_yaw,0.276190,0.000000,0.009510,-1.084880
300,R_hip_pitch,-0.556990,0.130000,0.117681,0.714703
300,R_knee,-0.438571,0.320000,0.361328,-6.394931
300,R_foot_pitch,0.235797,-0.190000,-0.234049,3.160160
300,R_foot_roll,-0.746768,0.000000,-0.004563,0.375324
310,L_hip_roll,-1.069204,-0.160381,-0.001649,-31.921848
310,L_hip_yaw,0.162313,0.040578,-0.007764,5.856650
310,L_hip_pitch,-0.293713,-0.203428,-0.125281,-8.668666
310,L_knee,-0.015614,-0.323904,-0.356998,4.767145
310,L_foot_pitch,-0.113208,0.178679,0.229766,-3.801207
310,L_foot_roll,-0.286338,-0.028634,-0.005474,-1.820015
310,R_hip_roll,0.138064,0.020710,-0.002016,4.408213
310,R_hip_yaw,0.389808,0.097452,0.008914,10.680949
310,R_hip_pitch,-0.951497,-0.107874,0.125071,-28.702118
310,R_knee,-0.277001,0.250750,0.357846,-18.406354
310,R_foot_pitch,0.897192,-0.100281,-0.230751,10.121512
